time	V(bit0)	V(bit1)	V(bit2)	V(bit3)	V(bitline0)	V(bitline1)
3.151074218750001e-08	1.238748e+00	6.734798e-01	1.238713e+00	1.347165e+00	6.768346e-01	6.765708e-01
3.173535156250001e-08	1.124788e+00	6.734798e-01	1.124721e+00	1.347165e+00	6.918885e-01	6.914259e-01
3.195996093750001e-08	9.909090e-01	6.734798e-01	9.908011e-01	1.347165e+00	7.114515e-01	7.107896e-01
3.200000000000000e-08	9.671224e-01	6.734797e-01	9.670063e-01	1.347165e+00	7.152323e-01	7.145419e-01
3.201091629633582e-08	9.611461e-01	6.734797e-01	9.610275e-01	1.347165e+00	7.182839e-01	7.175155e-01
3.203274888900746e-08	9.495341e-01	6.734797e-01	9.494104e-01	1.347165e+00	7.238569e-01	7.229666e-01
3.207641407435073e-08	9.280236e-01	6.734797e-01	9.278886e-01	1.347165e+00	7.330406e-01	7.320160e-01
3.216374444503729e-08	8.918868e-01	6.734797e-01	8.917251e-01	1.347165e+00	7.473323e-01	7.462271e-01
3.233840518641038e-08	8.375497e-01	6.734797e-01	8.373283e-01	1.347165e+00	7.460903e-01	7.452850e-01
3.250000000000000e-08	8.008171e-01	6.734797e-01	8.005406e-01	1.347165e+00	6.951129e-01	6.951840e-01
3.251826886846553e-08	7.982845e-01	6.734797e-01	7.980037e-01	1.347165e+00	6.872073e-01	6.872588e-01
3.255480660539658e-08	7.935050e-01	6.734797e-01	7.932173e-01	1.347165e+00	6.803011e-01	6.803148e-01
3.262788207925869e-08	7.849826e-01	6.734797e-01	7.846859e-01	1.347165e+00	6.784558e-01	6.784483e-01
3.272863493635490e-08	7.750624e-01	6.734797e-01	7.747615e-01	1.347165e+00	6.784875e-01	6.784827e-01
3.286509842390330e-08	7.644075e-01	6.734797e-01	7.641115e-01	1.347165e+00	6.782034e-01	6.781986e-01
3.308970779890331e-08	7.509159e-01	6.734797e-01	7.506409e-01	1.347165e+00	6.778960e-01	6.778920e-01
3.331431717390331e-08	7.404709e-01	6.734797e-01	7.402228e-01	1.347165e+00	6.775715e-01	6.775679e-01
3.353892654890331e-08	7.321746e-01	6.734797e-01	7.319543e-01	1.347165e+00	6.772833e-01	6.772802e-01
3.376353592390332e-08	7.252292e-01	6.734797e-01	7.250350e-01	1.347165e+00	6.770179e-01	6.770152e-01
3.398814529890332e-08	7.190754e-01	6.734797e-01	7.189052e-01	1.347165e+00	6.767156e-01	6.767157e-01
3.400000000000000e-08	7.187742e-01	6.734797e-01	7.186052e-01	1.347165e+00	6.767350e-01	6.767313e-01
3.400097835557269e-08	7.187504e-01	6.734797e-01	7.185814e-01	1.347165e+00	6.767365e-01	6.767330e-01
3.400293506671807e-08	7.187027e-01	6.734797e-01	7.185339e-01	1.347165e+00	6.767390e-01	6.767356e-01
3.400684848900884e-08	7.186074e-01	6.734798e-01	7.184390e-01	1.347165e+00	6.767418e-01	6.767389e-01
3.401467533359036e-08	7.184178e-01	6.734800e-01	7.182502e-01	1.347165e+00	6.767426e-01	6.767399e-01
3.403032902275341e-08	7.180419e-01	6.734811e-01	7.178758e-01	1.347166e+00	6.767348e-01	6.767324e-01
3.406163640107951e-08	7.173027e-01	6.734852e-01	7.171395e-01	1.347170e+00	6.767089e-01	6.767067e-01
3.412425115773171e-08	7.158734e-01	6.735014e-01	7.157159e-01	1.347185e+00	6.766527e-01	6.766505e-01
3.424948067103612e-08	7.131824e-01	6.735625e-01	7.130356e-01	1.347241e+00	6.765454e-01	6.765434e-01
3.445631221229646e-08	7.090116e-01	6.737131e-01	7.088814e-01	1.347375e+00	6.763788e-01	6.763771e-01
3.450000000000000e-08	7.081782e-01	6.737558e-01	7.080513e-01	1.347410e+00	6.763456e-01	6.763438e-01
